Subject,From,Body
Dhun | Music Section | 14th April,General SecretaryCA <gensec.cult@iitr.ac.in>,"Greetings everyone! 

Get ready to be swept off your feet! Join us for a night of electrifying music and spectacular performances at the final show of the academic year - Dhun. 
Let the rhythm move you as our talented artists take the stage and transport you on a musical journey like no other. Don't miss out on this unforgettable experience! 

Date: 14th April 2023 
Time: 6.30 PM 
Venue: MAC Auditorium 

See you all there! 

Regards 
Music Section, IITR 
"

Academic engagement in lieu of holiday on April 14th,Assit RegistrarCurriculum <arcurriculum@iitr.ac.in>,"

Respected Faculty Members ,

Owing to the declaration of April 14, 2023 as a holiday at a short notice, I am directed to inform you that the academic time table for the said date is not being adjusted.
However, in view of the ensuing examinations (MTE/ETE), the faculty members may consider to engage the students during any free time, if they wish so.

Regards,
Major Reeti (Retd.)
Assistant Registrar (Curriculum)
Academic Section
IIT Roorkee
"
Fwd: Conference Invitation,"""Dean, International Relations, IIT Roorkee"" <dean.ir@iitr.ac.in>","Dear Students and Colleagues 
Please see the trail mail. Interested persons may participate in this conference online/physically. 
Thanks, 
Vimal 

- 
Prof. Vimal Chandra Srivastava 
G B Pant Institute Chair Professor 
Dean, [ https://ir.iitr.ac.in/ | International Relations ] 
Professor, [ https://iitr.ac.in/Departments/Chemical%20Engineering%20Department/Chemical%20Department.html | Department of Chemical Engineering ] 
Joint Faculty, Centre of Nanotechnology 
Indian Institute of Technology Roorkee 
Roorkee - 247667, Uttarakhand, India. 
Administrative email: dean.ir@iitr.ac.in 
Personal emails: vimal.srivastava@ch.iitr.ac.in, vimalcsr@yahoo.co.in 
Tel: +91-1332-28-4471, 5889 (O) / 286889 (R) / 9410372170 (M) 
Webpages: [ https://www.iitr.ac.in/~CH/vimalfch | Personal ] , [ https://orcid.org/0000-0001-5321-7981 | ORCID ] , [ https://www.webofscience.com/wos/author/rid/B-4455-2008 | WebOfKnowledge ] , [ https://www.scopus.com/authid/detail.uri?authorId=35565811700 | Scopus ] , [ https://www.scopus.com/authid/detail.uri?authorId=35565811700 | Scholar ] , [ https://www.linkedin.com/in/vimal-srivastava-b3102a9a/ | Linkedin ] 


From: ""St. Petersburg Mining University"" <forum-contest@spmi.ru> 
To: ""Dean International Relations"" <dean.ir@iitr.ac.in> 
Sent: Monday, April 10, 2023 2:42:20 PM 
Subject: Conference Invitation 



Dear colleagues! 

On May 22-27, 2023 the traditional XIX International Forum-Contest of students and young researchers on Topical Issues of Rational Use of Natural Resources will be held at the Mining University. For many years, the Forum has served as a platform for discussing topical issues in the development of the mineral resource, fuel and energy sectors in Russia and around the world. The Forum will be held in a hybrid format (in-person and online). 

Graduate and postgraduate students as well as post-docs and researchers 35 years old or younger are eligible to participate, and experts and scientists are welcome to participate in the Forum as Expert Committee members. 

Further information can be found in the attached newsletter or on the conference website [ https://myouth.spmi.ru/en | https://myouth.spmi.ru/en ] 
-- 
Kind regards, 
Organizing Committee 
XIX International Forum-Competition of Students and Young Scientists 
""Topical Issues of Rational Use of Natural Resources"" 
Email: [ mailto:forum-contest@spmi.ru | forum-contest@spmi.ru ] 
Tel.: +7 (812) 382-04-24 

"
ML in Sustainability Workshop by ECO Group,General Secretary Technical Affairs <gensec.technical@iitr.ac.in>,"Warm greetings from ECO Group.


As you may know that Sustainability and Machine Learning (ML) are two
rapidly growing fields that have the potential to make a huge impact in the
world.

But are you intrigued by the idea that how can these two be correlated

Hold your thoughts as we cordially invite you to the workshop on the topic 'ML
in Sustainability' organised by ECO Group to learn about the intersection
of ML and sustainability.


DATE: 14 APRIL, 2023

TIME: 6:00 PM

VENUE: APJ ABDUL KALAM BLOCK-002

*Link for Registration: *https://forms.gle/ZWyfo2UxNfWohfLy5


ECO Group is committed to promoting sustainable practices on our campus,
and this workshop is an excellent opportunity for students to learn and
engage with topics related to sustainability.


This workshop will help you gain valuable insights into how these two
fields can work together to create positive change and explore how ML can
be the next big thing in sustainability related challenges and help pave
the way towards a more sustainable future.


We look forward to seeing you all in a fun filled, informative and
interactive session.
-- 
Thanks & Regards,
Aryan Bidani
General Secretary Technical Affairs
IIT ROORKEE
"
Fellowship opportunities for students,Associate Dean Corporate Interaction <adci@iitr.ac.in>,"


Dear Students,
Fellowship opportunities for UG, PG & PhD students are as follows:
 1.=C2=A0Full-bright=C2=A0Nehru Fellowships=C2=A0- UG/PG/PhD/PDF -=C2=A0Las=
t Date : May 17 2023=C2=A0(Different deadlines of each scholarship )2. SBI =
foundation :=C2=A0Asha scholarship=C2=A0- UG/ PhD -=C2=A0Last Date: April 3=
0 20233. Rolls Royce Unnati Scolarship for women - Last Date : May 15 2023
Regards
Sairam
--=20
Sai Ramudu Meka
Associate Dean Corporate Interaction (ADCI)
Indian Institute of Technology Roorkee
Email:adci@iitr.ac.in
Phone No. +91 133228 5378
"
Covid-19 appropriate behaviour,CMO IITRoorkee <cmo@iitr.ac.in>,"


Dear Beneficiaries, 

Recently, there is increase in incidences of COVID -19 in the different parts of the country including Capital city Delhi. Therefore, the campus community is requested to adhere to the following Covid-19 appropriate behaviours to prevent the spread of COVID-19 infection in the community. 

    * 1. Wash your hands with soap & water/sanitizer regularly. 
    * 2. Avoid mass gathering at crowded places. 
    * 3. Everyone ensure to wear a face mask in public places. 
    * 4. Maintain Social Distancing 
    * 5. Avoid mass gathering and crowded places. 
    * 6. Always cover your mouth and nose with a tissue when you cough or sneeze or use the inside of your elbow and do not spit. 
    * 7. Watch for fever, cough, sneezing/ running nose or any breathlessness and if not getting relief from simple treatment report to the OPD/Emergency of the Institute Hospital, IIT Roorkee. 




Chief Medical Officer 



"
Revised Programme of Birth Anniversary of Dr. B.R. Ambedkar.,Banesingh Meena <banesingh.aad@iitr.ac.in>,"





No. IITR/Gen. Admn./G-123/2023/1232 Dated: 13 April, 2023=20







NOTICE=20



The 132 nd Birth Anniversary of Dr. B.R. Ambedkar will be organized in the =
Senate Hall of the Institute on April 14 , 2023 ( Friday ) as per the follo=
wing schedule. All Students, Faculty members, Officers and Employees of the=
 Institute are invited to join the function.=20






Dr. B.R. Ambedkar=E2=80=99s 132 nd Birth Anniversary Programme on 14 th Apr=
il, 2023 ( Friday )=20




1. 10:30 a.m. Kulgeet=20




2. 10:35 a.m. Lamp lighting and Wreath laying on the picture of Dr. B.R. Am=
bedkar=20




3. 10:37 a.m. Offering of flowers on the picture of Dr. B.R. Ambedkar by th=
e assembled Audience=20




4. 10:45 a.m. Welcome address by the Deputy Director, Prof. U.P. Singh=20




5. 10:50 a.m. Speech on the biography of Dr. B.R. Ambedkar:-=20




(a) 10:50 a.m. Prof. Vinod Mishra, Deptt. of Humanities & Social Sciences=
=20




(b) 10:54 a.m. Prof. Mukesh Kumar Barua, Deptt. of Management Studies=20




( c) 10:58 a.m. Shri Sarvesh Kumar Shah, M.Tech. 1 st Year, Deptt. of Hydro=
logy=20




(d) 11:02 a.m. Shri Sanjeet Kumar, President, SC/ST Employees Welfare Socie=
ty, IITR=20




6. 11:06 a.m. Prize distribution to the winners of Quiz Competition held un=
der various activities of Dr. B.R. Ambedkar Pragatisheel Vichar Manch (APVM=
), IIT Roorkee=20




7. 11:10 a.m. Address by the Director and the Patron of Dr. B.R. Ambedkar P=
ragatisheel Vichar Manch, IIT Roorkee=20




8. 11:15 a.m. Vote of thanks by Liaison Officer, SC/ST cell and Convener of=
 Dr. B.R. Ambedkar Pragatisheel Vichar Manch=20




9. 11:17 a.m. National Anthem=20




10. 11:18 a.m. Invitation to all the present audience for refreshment by Li=
aison Officer, SC/ST cell and Convener of Dr. B.R. Ambedkar Pragatisheel Vi=
char Manch=20




11. 11:19 a.m. Refreshment=20






The signed bilingual notice is available on the following link: [ https://c=
hanneli.in/noticeboard/notice/9471 | https://channeli.in/noticeboard/notice=
/9471 ]=20







With Regards,=20

Assistant Registrar (General Administration)=20
--=20
"
"Notice regarding availability of Services of one more Homoeopathic
 Consultant in the OPD of the Institute Hospital, w.e.f. 15.04.2023
 (Saturday)",CMO IITRoorkee <cmo@iitr.ac.in>,"Dear All

Please find attached herewith the bilingual notice regarding availability of services
of one more experienced Homoeopathic Consultant, w.e.f. 15.04.2023
(Saturday) along with the services of already existing  Homoeopathic
Consultants.

Regards,

Dr.M.K.JHA
Chief Medical Officer"
"Expert Talk ""Modelling fluid flow through porous media using
 MATLAB"" on April 15, 2023 during 11:00-1:00 PM at DOH",Head Hydrology <head@hy.iitr.ac.in>,"Dear All, 

The Department of Hydrology is conducting an Expert Talk "" Modelling fluid flow through porous media using MATLAB "" of two hours on Saturday (April 15, 2023) during 11:00-1:00 PM in its Conference Hall. Find below information related to this talk. 

ABSTRACT : Subsurface flow modelling for various applications like contaminant transport, nuclear waste disposal, geothermal flows, carbon capture sequestration, and hydrocarbon flows involves uses of traditional numerical simulation tools. MATLAB is one tool, which allows for modelling various aspects of fluid flow through porous media. More recently, MATLAB is also used for modelling data driven models for subsurface flows. It has been used for deep learning methods as well as traditional numerical simulation to achieve fast and accurate modelling of subsurface flow and solute transport problems. 

Speaker : Prof. Mayur Pal, Faculty of Mathematics and Natural Sciences, Kaunas University of Technology 


SPEAKER BIO : Prof. Mayur Pal received Ph.D. degree in Computational Engineering from Swansea University, Wales, UK in 2007. After finishing his Ph.D. Mayur Pal worked at Shell International Exploration and Production B.V. Research Centre in Rijswijk, followed by Maersk Oil Research and Technology Centre. He also held positions as head of enhanced oil recovery team and head of asset in North Oil Company, Qatar. He is currently Prof. at Department of Mathematical Modelling at KTU, Kaunas, Lithuania. His research interest includes, subsurface flows, multiscale, modelling, discrete fracture network modelling, enhanced oil recovery, CCUS, Hydrogen storage, data science and machine learning applications to solve problems in engineering and sciences. 


All interested are welcome to attend. 

Regards, Brijesh 

Prof. Brijesh Kumar Yadav 
Head, Department of Hydrology 
Indian Institute of Technology Roorkee 
Roorkee- 247667, Uttarakhand, India 
Former Ramanujan Fellow (GoI) 
Email: brijesh.yadav@hy.iitr.ac.in; brijkfhy@iitr.ac.in 
tel +91-1332-284755 
https://www.iitr.ac.in/~HY/Dr__Brijesh_Kumar_Yadav 
"
"=?utf-8?Q?Dr._B.R._Ambedkar=E2=80=99s_132nd_Birth_Annivers?=
 =?utf-8?Q?ary_Programme_on_14th_April,_2023_-_reg.?=",Banesingh Meena <banesingh.aad@iitr.ac.in>,"




No. IITR/Gen. Admn./G-123/2023/1232 Dated: 13 April, 2023=20







NOTICE=20



The 132 nd Birth Anniversary of Dr. B.R. Ambedkar will be organized in the =
Senate Hall of the Institute on April 14 , 2023 ( Friday ) as per the follo=
wing schedule. All Students, Faculty members, Officers and Employees of the=
 Institute are invited to join the function.=20






Dr. B.R. Ambedkar=E2=80=99s 132 nd Birth Anniversary Programme on 14 th Apr=
il, 2023 ( Friday )=20




1. 10:00 a.m. Kulgeet=20




2. 10:05 a.m. Lamp lighting and wreath laying on the picture of Dr. B.R. Am=
bedkar=20




3. 10:07 a.m. Offering of flowers on the picture of Dr. B.R. Ambedkar by th=
e assembled audience=20




4. 10:15 a.m. Welcome address by the Deputy Director, Prof. U.P. Singh=20




5. 10:20 a.m. Speech on the biography of Dr. B.R. Ambedkar:-=20




(a) 10:20 a.m. Prof. Vinod Mishra, Deptt. of Humanities & Social Sciences=
=20




(b) 10:24 a.m. Prof. Mukesh Kumar Barua, Deptt. of Management Studies=20




( c) 10:28 a.m. Shri Sarvesh Kumar Shah, M.Tech. 1 st Year, Deptt. of Hydro=
logy=20




(d) 10:32 a.m. Shri Sanjeet Kumar, President, SC/ST Employees Welfare Socie=
ty, IITR=20




6. 10:36 a.m. Prize distribution to the winners of Quiz Competition held un=
der various activities of Dr. B.R. Ambedkar Pragatisheel Vichar Manch (APVM=
), IIT Roorkee=20




7. 10:40 a.m. Address by the Director and the Patron of Dr. B.R. Ambedkar P=
ragatisheel Vichar Manch, IIT Roorkee=20




8. 10:45 a.m. Vote of thanks by Liaison Officer, SC/ST cell and Convener of=
 Dr. B.R. Ambedkar Pragatisheel Vichar Manch=20




9. 10:47 a.m. National Anthem=20




10. 10:48 a.m. Invitation to all the present audience for refreshment by Li=
aison Officer, SC/ST cell and Convener of Dr. B.R. Ambedkar Pragatisheel Vi=
char Manch=20




11. 10:49 a.m. Refreshment=20






The signed bilingual notice is available on the following link: [ https://c=
hanneli.in/noticeboard/notice/9468 | https://channeli.in/noticeboard/notice=
/9468 ]=20







Best Regards,=20

Assistant Registrar (General Administration)=20
--=20
"
"Study, Scholarship & Job opportunities in Japan",CDC Office IIT Roorkee <office_cdc@iitr.ac.in>,"
Study, Scholarship & Job opportunities in Japan 
Dear all, 
CDC is organizing an information session on 'Study, Scholarship & Job opportunities in Japan' on April 15 , 2023, Saturday, 11.00 am onwards in association with Embassy of Japan and Japan Foundation . 

Please note the venue is A. P. J. Abdul Kalam Block (LS-103 & LS-104) 





The objective of the session are: 





1. Japan as a destination for Higher Education 


2. How to select Japanese universities. 


3. Application and selection procedure for studying in Japan. 


4. Grants/funding opportunities for education. 


5. Assistance from Embassy of Japan for application and screening procedure 


6. Japanese language proficiency test and its benefits. 


7. Work and internship opportunities. 

This program is of interest to all students from UG, PG, Ph.D., and Integrated programs who wish to work/study in Japan and avail scholarships for the studies. 

The schedule of the interaction programme is as follows: 



11:00-12:00 	

Session by Mr.Yasuhiro Yonehara, the First Secretary, Embassy of Japan 


12:00-12:30 	

Session by Prof. Abhishek about experience in Japan 


13:45-14:45 	

Session by universities 


14:45-14:55 	

QnA session 


14:55-15:25 	

Session by Mr. Taisei Toyomaru, Director, Japan Foundation 


We cordially invite you to be a part of the process. 
Register through: [ https://docs.google.com/forms/d/1EEhozkP_qDUBaCd7pfsJCrGR_W25MRbOXlOk9bu6kTc/edit | https://docs.google.com/forms/d/1EEhozkP_qDUBaCd7pfsJCrGR_W25MRbOXlOk9bu6kTc/editor ] 

or Scan to register : 

Ensure registration at the earliest and be seated by 10:50 sharp. 
Regards 
CDC Office 


"
"Notification: Extension of tenure of Associate Dean of Academic
 Affairs (IT Systems & Admission)",Establishment Services Wing-A <estba@iitr.ac.in>,"

The tenure of Prof. A. Swaminathan, Department of Mathematics as Associate Dean of Academic Affairs (IT Systems & Admission) is extended up to 26 th April, 2024. 



This is issued with the approval of the Director. 



Sd/- 

Prashant Garg 

Registrar 



Signed copy of bilingual notice is also available at the following link:- 

[ https://channeli.in/noticeboard/notice/9464 | https://channeli.in/noticeboard/notice/9464 ] 



"
"OM: Appointment of Professor-in-Charge, Greater Noida Extension
 Campus (GNEC)",Establishment Services Wing-A <estba@iitr.ac.in>,"

Prof. R. Balasubramanian, Department of Computer Science and Engineering is hereby appointed as Professor-in-Charge, Greater Noida Extension Campus (GNEC) for a period of two years w.e.f. 01.05.2023. 



The sincere services rendered by Prof. Soumitra Satapathi, Department of Physics as Professor-in-Charge, Greater Noida Extension Campus (GNEC) are greatly appreciated and placed on record. 



This is issued with the approval of the Director. 



Sd/- 

Prashant Garg 

Registrar 



Signed copy of bilingual notice is also available at the following link:- 

[ https://channeli.in/noticeboard/notice/9463 | https://channeli.in/noticeboard/notice/9463 ] 



"
"regarding the Ph.D. Viva-voce Examination of Mr. Ravinder
 (18922004)",Head Paper Technology <head@pt.iitr.ac.in>,"


Open Notice for Ph.D. Viva - Voce Examination=20





Name of the Student =09

Mr. Ravinder=20


Enrolment No. =09

18922004=20


Thesis Topic =09

=E2=80=9CHYBRID MACHINE LEARNING AND DEEP LEARNING MODELS FOR SENTIMENT ANA=
LYSIS OF STUDENT FEEDBACK AND SARCASM DETECTION=E2=80=9D=20


Date and Day =09

17 th April 2023 (Monday)=20


Time =09

10:30 AM onwards (IST)=20


Venue (Hybrid Mode) =09

New Committee Room, Adjacent to Dean-SRE Office=20

First Floor, New Technology Building=20

I.I.T. Roorkee Saharanpur Campus, Saharanpur-247001=20



Meeting link: [ https://iitroorkee.webex.com/iitroorkee/j.php?MTID=3Dm4336b=
81073914670c0c7f7c46e3e6013 | https://iitroorkee.webex.com/iitroorkee/j.php=
?MTID=3Dm4336b81073914670c0c7f7c46e3e6013 ]=20

Meeting number: 2644 960 9785=20

Meeting password: Ravinder2023=20


Supervisor(s) =09

Prof. S. C. Sharma=20

Department of Paper Technology,=20

Indian Institute of Technology Roorkee=20

[ https://www.iitr.ac.in/~DPT/scs60fpt | https://www.iitr.ac.in/~DPT/scs60f=
pt ]=20


External Examiner =09

Prof. Ravi Shankar Singh,=20

Deptt. of Computer Science and Engineering,=20

IIT (BHU) Varanasi, U.P.=20

[ https://www.iitbhu.ac.in/dept/cse/people/ravicse | https://www.iitbhu.ac.=
in/dept/cse/people/ravicse ]=20

































































































All interested are welcome to attend.=20









"
"Regarding the Viva-voce Examination of Phd R/S Ms. Vaishali Saroha
 (15922007)",Head Paper Technology <head@pt.iitr.ac.in>,"


Open Notice for Ph.D. Viva - Voce Examination=20





Name of the Student =09

Ms. Vaishali Saroha=20


Enrolment No. =09

15922007=20


Thesis Topic =09

=E2=80=9CDEVELOPMENT OF POLYVINYL ALCOHOL BASED NANOCOMPOSITES AS ADVANCED =
PACKAGING MATERIAL=E2=80=9D=20


Date and Day =09

17 April 2023 (Monday)=20


Time =09

02:00 PM onwards (IST)=20


Venue =09

New Committee Room, Adjacent to Dean-SRE Office=20

I.I.T. Roorkee Saharanpur Campus, Saharanpur-247001=20



Meeting Link:=20

[ https://iitroorkee.webex.com/iitroorkee/j.php?MTID=3Dm4876e951cac049b042d=
32f08955b4075 | https://iitroorkee.webex.com/iitroorkee/j.php?MTID=3Dm4876e=
951cac049b042d32f08955b4075 ]=20



Meeting number: 2641 535 2282=20


Meeting password: Vaishali2023=20





Supervisor =09

Prof. Dharm Dutt=20

Department of Paper Technology,=20

Indian Institute of Technology Roorkee=20

[ https://iitr.ac.in/Departments/Paper%20Technology%20Department/People/Fac=
ulty/400013.html | https://iitr.ac.in/Departments/Paper%20Technology%20Depa=
rtment/People/Faculty/400013.html ]=20




External Examiner =09

Prof. Patrick Gane,=20

Deptt. of Bioproducts & Biosystems,=20

Aalto University, Finland=20

[ https://research.aalto.fi/en/persons/patrick-gane | https://research.aalt=
o.fi/en/persons/patrick-gane ]=20
















All interested are welcome to attend.=20


"
"Holiday on account of birth anniversary of Dr. B. R. Ambedkar -
 reg.",Banesingh Meena <banesingh.aad@iitr.ac.in>,"










IITR/Gen.Admn./H-1/2023/1231 Dated : 13 April, 2023 





OFFICE MEMORANDUM 



It is to inform that there will be a holiday in the Institute on 14 th April, 2023 ( Friday ) on account of the birth anniversary of Dr. B. R. Ambedkar. 



This is issued with the approval of the Director. 



The signed bilingual OM is available on the following link : [ https://channeli.in/noticeboard/notice/9461 | https://channeli.in/noticeboard/notice/9461 ] 







With Regards, 

Assitant Registrar ( General Administration) 
-- 
"
Regarding medical emergency concerning a dog,Committee for Campus Fauna <ccf@iitr.ac.in>,"
=C2=A0=20
=20
This is to inform you that there is a dog, whose head is stuck in a plastic=
 box (picture attached).=20
He was last seen around 6pm on PIC - HYDROLOGY ROAD.=20
He was also frequently seen near the construction area.=20
If you encounter the dog please call at the moment. It is a crucial case an=
d he needs to be rescued as soon as possible.=20
Contact:- 7888521622 (NIKITA)=20
Or reply to this mail.=20
Regards=20
Gargi singh=20
Chairperson=C2=A0=20
CCF=20
=C2=A0=20
=C2=A0 =20
"
Inviting Projects for Technical Exhibition,General Secretary Technical Affairs <gensec.technical@iitr.ac.in>,"Greetings everyone!!

Students' Technical Council is organising a Technical Exhibition as a part
of TechShila: Inter Bhawan Tech Meet to showcase software and hardware
projects of our campus junta and technical groups. We urge you all to grab
this opportunity to display your completed projects in the exhibition.
All interested students who have completed a project may apply for the same
using the following form by 13th April 11:59 PM:

https://forms.gle/VSbU6k3H8jZSrA25A

STC will contact you for further details once you fill the form

All the Best for your submissions!!

For more updates about the Technical Exhibition, do follow the Students'
Technical Council on Instagram:
stc_iitr -
https://instagram.com/stc_iitr?igshid=MWI4MTIyMDE=



-- 
Thanks & Regards,
Aryan Bidani
General Secretary Technical Affairs
IIT ROORKEE
"
"Re: PHN-006: Quantum Mechanics and Statistical Mechanics Class
 Materials",Himanshu Fulara <himanshu.fulara@ph.iitr.ac.in>,"Lecture notes L09-14 are attached. 

Himanshu 


*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 


From: ""Himanshu Fulara"" <himanshu.fulara@ph.iitr.ac.in> 
To: ""PHN-006-i1"" <phn-006-i1@iitr.ac.in> 
Sent: Monday, March 27, 2023 10:51:45 AM 
Subject: Re: PHN-006: Quantum Mechanics and Statistical Mechanics Class Materials 

Lecture notes L06-08 are attached. 

Himanshu 


*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 


From: ""Himanshu Fulara"" <himanshu.fulara@ph.iitr.ac.in> 
To: ""PHN-006-i1"" <phn-006-i1@iitr.ac.in> 
Sent: Monday, March 20, 2023 1:14:24 PM 
Subject: Re: PHN-006: Quantum Mechanics and Statistical Mechanics Class Materials 

Lecture notes L02-05 are attached. 

Himanshu 

*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 


From: ""Himanshu Fulara"" <himanshu.fulara@ph.iitr.ac.in> 
To: ""PHN-006-i1"" <phn-006-i1@iitr.ac.in> 
Sent: Friday, March 3, 2023 11:01:28 PM 
Subject: PHN-006: Quantum Mechanics and Statistical Mechanics Class Materials 

Dear Students, 

Please, find attached the slides of my introductory Lecture. You need to join the MS team created for the PHN-006 course (O1-O4 batches); otherwise, you will miss the important updates and won't be able to submit your assignments and projects. Please, join the team ASAP via the following code: 



ze2t56l 

Best wishes 
Himanshu 


*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 

"
"Fwd: Intro session with Japanese Embassy and Universities - April
 15, 2023 11.00 am APJAKB 103 / 104","""Dr.Sugata Gangopadhyay"" <sugata.gangopadhyay@cs.iitr.ac.in>","

--- 
Dr. Sugata Gangopadhyay 
Professor and Head 
Department of Computer Science and Engineering 
Indian Institute of Technology Roorkee 
Roorkee 
PIN Code: 247667 INDIA 
Homepage:https://cse.iitr.ac.in/~CSE/Gangopadhyay_Sugata 



From: ""Prof. In Charge CDC"" <prof.ic_cdc@iitr.ac.in> 
To: ""Hod of Departments"" <hod@iitr.ac.in> 
Cc: ""office cdc"" <office_cdc@iitr.ac.in> 
Sent: Wednesday, April 12, 2023 5:49:23 PM 
Subject: Intro session with Japanese Embassy and Universities - April 15, 2023 11.00 am APJAKB 103 / 104 

Dear Head of the Departments and Centers 

CDC is organizing an information session on 'Study, Scholarship & Job opportunities in Japan' on April 15 , 2023, Saturday , 11.00 am onwards in association with Embassy of Japan and Japan Foundation . 

Please note the venue is A. P. J. Abdul Kalam Block (LS-103 & LS-104) 





The objectives of the session are: 





1. Japan as a destination for Higher Education 


2. How to select Japanese universities. 


3. Application and selection procedure for studying in Japan. 


4. Grants/funding opportunities for education. 


5. Assistance from Embassy of Japan for application and screening procedure 


6. Japanese language proficiency test and its benefits. 


7. Work and internship opportunities. 

This program is of interest to all students from UG, PG, Ph.D., and Integrated programs who wish to work/study in Japan and avail scholarships for the studies. 

The schedule of the interaction programme is as follows: 



11:00-12:00 	

Session by Mr.Yasuhiro Yonehara, the First Secretary, Embassy of Japan 


12:00-12:30 	

Session by Prof. Abhishek about experience in Japan 


13:45-14:45 	

Session by universities 


14:45-14:55 	

QnA session 


14:55-15:25 	

Session by Mr. Taisei Toyomaru, Director, Japan Foundation 


CDC request you to kindly circulate it to all all the students of your department. The students can register through the link given below. 
[ https://docs.google.com/forms/d/1EEhozkP_qDUBaCd7pfsJCrGR_W25MRbOXlOk9bu6kTc/edit | https://docs.google.com/forms/d/1EEhozkP_qDUBaCd7pfsJCrGR_W25MRbOXlOk9bu6kTc/editor ] 

or they can scan to register : 
Regards 
Rajat Rastogi 
Prof. in Charge 
Career Development Cell, IIT Roorkee 

"
Re: Seeking inputs by 20th April  for review of SRIC rules,Associate Dean Corporate Interaction <adci@iitr.ac.in>,"
Dear students=20
Please ignore the trailing email sent to you=20
Due to my oversight the email is marked to you.=20
=C2=A0Apologies for this disturbance created in your mail box.=20
=C2=A0=20
Regards=20
Sairam=20
=C2=A0=20
=C2=A0=20
=C2=A0=20
=C2=A0 =20
Sai Ramudu Meka Associate Dean Corporate Interaction (ADCI) Indian Institut=
e of Technology Roorkee Email:adci@iitr.ac.in Phone No. +91 133228 5378=20

=20
  =20

-----Original Message-----

From: Associate <adci@iitr.ac.in>
To: Faculty-Notices <faculty-notices@iitr.ac.in>; Students-Notices <student=
s-notices@iitr.ac.in>
Cc: Rajat <rajat.rastogi@ce.iitr.ac.in>; Dean <dsric@iitr.ac.in>
Date: Wednesday, 12 April 2023 5:19 PM IST
Subject: Seeking inputs by 20th April for review of SRIC rules

 =20
 Dear Colleagues, As per the mandate of SRIC rules, these need to be review=
ed periodically to examine the applicability and practical feasibility of t=
heir implementation. The last review of the rules was taken up in 2018. A c=
ommittee has been formed to review the SRIC rules in force and provide its =
recommendations. The committee in its first meeting has deliberated on the =
existing rules and took feedback from the SRIC office on the implementation=
 issues. The members were of the opinion that feedback should be taken from=
 all the stakeholders as a part of creating an enabling environment for all=
. In view of this we request all of you to provide your inputs by=C2=A0 20t=
h April 2023 through the link given below: https://forms.gle/mCxEAsQTEoiwgH=
rR7 The inputs will be forwarded to the committee for their consideration.=
=20

Regards=20

sairam =20
=C2=A0=20
=20
Sai Ramudu Meka Associate Dean Corporate Interaction (ADCI) Indian Institut=
e of Technology Roorkee Email:adci@iitr.ac.in Phone No. +91 133228 5378=20

   =20
"
